Draw,Date,Weekday,Winning Number 1,2,3,4,5,6,Extra Number,From Last,Low,High,Odd,Even,1-10,11-20,21-30,31-40,41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize,Turnover
25/070,2025-06-26,Thursday,9,11,23,24,29,49,30,49,4,2,5,1,1,1,3,0,1,0,0,1,1235640,92.5,35620,221.5,9600,4866.7,640,6299.9,320,82574.8,40,38154646
25/069,2025-06-24,Tuesday,3,21,28,33,45,49,29,,2,4,5,1,1,0,2,1,2,1,8000000,0.5,751035,67,59780,141,9600,3754.7,640,4523,320,63467.4,40,40045397
25/068,2025-06-21,Saturday,2,4,19,27,31,39,13,,3,3,4,2,2,1,1,2,0,1,8000000,1,1415070,57.5,65620,96,9600,2847,640,4198.8,320,55998.2,40,36523197
25/067,2025-06-19,Thursday,7,12,13,18,34,35,6,,4,2,3,3,1,3,0,2,0,1,8000000,4,293480,153.5,20390,228.7,9600,4983.6,640,6589.5,320,72380.2,40,36692712
25/066,2025-06-17,Tuesday,5,19,30,40,44,45,26,45,2,4,3,3,1,1,1,1,2,1,52649310,4.5,1085130,206,63210,537.5,9600,11091.5,640,14816.2,320,194293.4,40,129687177
25/065,2025-06-12,Thursday,6,25,32,36,39,45,13,45,1,5,3,3,1,0,1,3,1,0,0,1,1738820,47.5,97610,182,9600,3375.6,640,5304.2,320,66996,40,45513439
25/064,2025-06-10,Tuesday,9,13,35,40,45,46,26,9,2,4,4,2,1,1,0,2,2,0,0,0.5,794520,54.5,77750,139,9600,3356.6,640,4111,320,55658.8,40,40913202
25/063,2025-06-07,Saturday,9,15,27,30,34,39,19,39,2,4,4,2,1,1,2,2,0,1,12932520,1.5,1096110,60.5,72470,178.5,9600,3364.7,640,5655.6,320,64562.6,40,43565282
25/062,2025-06-05,Thursday,18,22,24,33,39,44,3,,3,3,2,4,0,1,2,2,1,0,0,3,469820,90,41760,227,9600,4248.9,640,6015.9,320,67981.4,40,40409117
25/061,2025-06-03,Tuesday,1,2,13,15,41,46,27,,4,2,4,2,2,2,0,0,2,1,8000000,0,0,37,109980,131.5,9600,2504.1,640,4197.6,320,53785.6,40,38810229
